@relation dataTraining_tahap2

@attribute L1 numeric
@attribute L2 numeric
@attribute L3 numeric
@attribute L4 numeric
@attribute L5 numeric
@attribute L6 numeric
@attribute L7 numeric
@attribute L8 numeric
@attribute L9 numeric
@attribute L10 numeric
@attribute L11 numeric
@attribute L12 numeric
@attribute L13 numeric
@attribute L14 numeric
@attribute L15 numeric
@attribute L16 numeric
@attribute L17 numeric
@attribute L18 numeric
@attribute R19 numeric
@attribute R20 numeric
@attribute R21 numeric
@attribute R22 numeric
@attribute R23 numeric
@attribute R24 numeric
@attribute R25 numeric
@attribute R26 numeric
@attribute R27 numeric
@attribute R28 numeric
@attribute R29 numeric
@attribute R30 numeric
@attribute R31 numeric
@attribute R32 numeric
@attribute R33 numeric
@attribute R34 numeric
@attribute R35 numeric
@attribute R36 numeric
@attribute SKIR {Perut,Dada,Kepala}
@attribute SKAN {Kepala,Perut,Dada}
@attribute Label {Topeng,Badan,Awan,Anak,Maklum,Bola,Besar,Rujuk,Bingkai,Bingung,Sempit,Kijang,Samping,Lengkung,Gelombang,Selubung,Sama,Faedah}

@data
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,8,1,7,2,8,8,7,4,5,5,4,5,5,5,5,5,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,8,8,1,1,7,1,4,4,5,5,4,5,4,5,7,6,4,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,8,8,1,8,8,7,8,8,5,4,4,5,5,4,5,4,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,8,2,8,8,1,1,1,2,4,4,5,4,5,4,5,5,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,8,8,1,8,7,8,1,4,4,6,3,5,5,4,6,4,6,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,2,2,7,1,8,1,8,4,4,3,5,6,6,4,6,6,5,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,7,7,7,8,8,1,8,4,5,4,5,5,4,5,5,6,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,7,2,8,1,7,1,8,1,5,5,5,5,5,5,5,5,5,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,8,3,2,7,1,4,4,3,5,3,3,5,5,6,5,3,Perut,Kepala,Topeng
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,2,8,1,2,8,1,4,4,6,5,5,5,5,5,5,Perut,Kepala,Topeng
