Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R0,0.0357989,0.3195772,1.489649,0.000966456,-5.65E-05,-0.00182724,,
R0,0.03707587,0.3217628,1.487908,0.001276977,0.002185553,-0.001740694,59.70306938,2
R0,0.03905463,0.3211235,1.486588,0.001978759,-0.000639349,-0.001320601,342.0940363,8
R0,0.04082403,0.3204317,1.486641,0.001769397,-0.000691742,5.35E-05,338.6471005,8
R0,0.04451684,0.3203986,1.485032,0.003692806,-3.31E-05,-0.001609087,359.4867516,8
R0,0.1160875,0.3255161,1.482099,0.07157063,0.005117506,-0.002933383,4.089852579,1
R0,0.1207419,0.3253848,1.482174,0.004654475,-0.000131309,7.52E-05,358.3840376,8
R0,0.1272189,0.3258522,1.482626,0.006477006,0.00046736,0.000452042,4.127127015,1
R0,0.1351499,0.3281865,1.482059,0.007930934,0.002334267,-0.000567555,16.40044004,1
R0,0.1414219,0.3296438,1.48328,0.006271988,0.001457393,0.001221538,13.08141606,1
R0,0.1486295,0.3293762,1.483142,0.007207632,-0.000267625,-0.000138283,357.8735407,8
R0,0.1567556,0.3319495,1.483259,0.008126125,0.002573252,0.000116706,17.57112474,1
R0,0.1638213,0.333013,1.484113,0.007065624,0.001063526,0.000853896,8.559967201,1
R0,0.2072792,0.3326454,1.48184,0.04345794,-0.000367552,-0.00227201,359.515424,8
R0,0.2492156,0.3286129,1.479516,0.04193641,-0.004032582,-0.002324224,354.5073575,8
R0,0.2550458,0.3270715,1.478647,0.005830199,-0.001541317,-0.000869036,345.1916227,8
R0,0.2628736,0.3264106,1.478142,0.007827759,-0.000660956,-0.000504732,355.1735399,8
R0,0.2705196,0.3257735,1.477974,0.007645994,-0.000637114,-0.0001688,355.2367465,8
R0,0.2783787,0.3264767,1.478493,0.007859111,0.000703216,0.000519753,5.113081104,1
R0,0.2863547,0.3261442,1.477962,0.007976055,-0.000332475,-0.000530958,357.6130587,8
R0,0.2945669,0.3261255,1.478875,0.008212209,-1.87E-05,0.000912786,359.8694215,8
R0,0.3020457,0.326232,1.479231,0.007478744,0.000106543,0.00035584,0.816188989,1
R0,0.309397,0.3252882,1.479258,0.007351279,-0.000943869,2.67E-05,352.683523,8
R0,0.3173937,0.3255635,1.4798,0.007996738,0.000275284,0.000542641,1.971602806,1
R0,0.3216439,0.3238637,1.480278,0.004250258,-0.001699805,0.000477552,338.202056,8
R0,0.3345035,0.3234046,1.483899,0.01285952,-0.000459045,0.003620982,357.9555855,8
R0,0.4510824,0.3080158,1.540721,0.1165789,-0.01538882,0.05682158,352.4802339,8
R0,0.4549265,0.3085209,1.543593,0.003844082,0.00050512,0.002872467,7.485884829,1
R0,0.4567023,0.3069706,1.546193,0.001775831,-0.001550317,0.002600193,318.8787378,8
R0,0.4161329,0.2811958,1.555513,-0.04056942,-0.02577475,0.009319901,212.4287988,5
R0,0.4166397,0.2821469,1.557275,0.000506759,0.000951052,0.001762271,61.94950926,2
R0,0.4171485,0.2829856,1.558748,0.000508875,0.000838697,0.001472473,58.7529526,2
R0,0.4176689,0.2841114,1.560174,0.000520349,0.001125783,0.001425624,65.19313379,2
R0,0.418066,0.2855265,1.56148,0.000397116,0.001415133,0.001306176,74.32477008,2
R0,0.4582196,0.3090512,1.55715,0.04015359,0.02352473,-0.004329205,30.36470075,1
R0,0.4242846,0.296761,1.567213,-0.03393501,-0.01229027,0.01006234,199.9089082,5
R0,0.4649613,0.3177779,1.565375,0.04067668,0.0210169,-0.00183785,27.32457541,1
R0,0.4657469,0.3179379,1.56678,0.000785679,0.000160039,0.001404762,11.51333119,1
R0,0.4661811,0.3176875,1.569498,0.00043413,-0.000250459,0.00271821,330.0184741,8
R0,0.4641587,0.3156855,1.570472,-0.002022386,-0.002001941,0.000974178,224.7089197,6
R1,0.089217,0.3192942,1.328238,0.003898889,-5.16E-06,-0.000828505,359.9242334,8
R1,0.09417824,0.3153815,1.327634,0.004961237,-0.003912717,-0.000603437,321.7386551,8
R1,0.09999634,0.3134853,1.326486,0.005818099,-0.001896143,-0.001148701,341.9489924,8
R1,0.1066739,0.3103361,1.324904,0.006677575,-0.003149211,-0.001581907,334.7509674,8
R1,0.1156482,0.3109568,1.324343,0.008974314,0.000620663,-0.000560999,3.95627411,1
R1,0.1205198,0.3080202,1.324941,0.004871607,-0.002936542,0.000598073,328.9189682,8
R1,0.1270868,0.3073787,1.324709,0.006566972,-0.000641495,-0.000232101,354.4207603,8
R1,0.1659662,0.3098889,1.325431,0.03887936,0.00251019,0.000722647,3.694092466,1
R1,0.1882648,0.3079537,1.326936,0.02229862,-0.001935184,0.00150454,355.0400176,8
R1,0.1923869,0.3054168,1.326151,0.004122078,-0.002536952,-0.000784874,328.3895881,8
R1,0.1994803,0.3058195,1.327345,0.0070934,0.000402749,0.001193523,3.249647009,1
R1,0.206471,0.308455,1.326859,0.006990746,0.002635509,-0.000486136,20.65642685,1
R1,0.2134587,0.3086098,1.326722,0.006987736,0.000154734,-0.000136852,1.268528081,1
R1,0.220376,0.3083786,1.326673,0.006917223,-0.000231177,-4.84E-05,358.0858626,8
R1,0.2272401,0.3084393,1.32618,0.006864145,6.07E-05,-0.000493288,0.506966329,1
R1,0.2336199,0.308247,1.325195,0.006379828,-0.000192344,-0.000985384,358.2731237,8
R1,0.2390081,0.3076778,1.325934,0.005388126,-0.000569165,0.000739694,353.9700274,8
R1,0.2450871,0.3070781,1.325281,0.006079003,-0.000599712,-0.000653505,354.3658283,8
R1,0.2734845,0.3000522,1.324152,0.02839743,-0.007025898,-0.001128793,346.1033375,8
R1,0.3267742,0.2990386,1.328832,0.05328974,-0.001013607,0.004679799,358.9103268,8
R1,0.3337215,0.2987898,1.330964,0.006947279,-0.00024882,0.002132177,357.9488053,8
R1,0.3453152,0.2982981,1.335021,0.0115937,-0.000491738,0.004057527,357.5712971,8
R1,0.3563839,0.3009418,1.337156,0.01106864,0.002643764,0.002134204,13.43351016,1
R1,0.3631222,0.2999246,1.339935,0.006738305,-0.001017213,0.002778888,351.415461,8
R1,0.3698372,0.3006445,1.340951,0.006715,0.000719845,0.00101614,6.118717657,1
R1,0.3766839,0.3038171,1.343179,0.006846696,0.003172636,0.002227783,24.86215947,1
R1,0.3800892,0.3046353,1.343694,0.003405362,0.000818223,0.000515103,13.51062173,1
R1,0.3839673,0.3045455,1.345019,0.003878027,-8.99E-05,0.001325607,358.6726926,8
R1,0.4363072,0.3056823,1.360691,0.05233997,0.001136839,0.01567185,1.244284941,1
R1,0.4365916,0.3063287,1.360907,0.000284374,0.000646412,0.000216365,66.25404453,2
R1,0.4388931,0.3067363,1.361921,0.002301544,0.000407606,0.001013875,10.04302092,1
R1,0.4392174,0.307143,1.36377,0.000324309,0.000406653,0.001848459,51.42734907,2
R1,0.4409553,0.3076832,1.36532,0.001737833,0.000540257,0.00154984,17.26939369,1
