Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R0,-0.1157277,0.3175774,1.500393,-0.1157277,0.3175774,1.500393,,
R0,-0.1148835,0.3189279,1.501732,0.000844277,0.001350552,0.001339197,57.98905263,2
R0,-0.1133295,0.3226381,1.503992,0.001553923,0.003710151,0.002259612,67.27459614,2
R0,-0.1118566,0.327081,1.505838,0.001472965,0.00444296,0.001845956,71.65820319,2
R0,-0.11133,0.3312475,1.506358,0.000526629,0.004166514,0.000519872,82.7962605,2
R0,-0.1099838,0.3355651,1.507753,0.001346119,0.004317611,0.001395345,72.68387736,2
R0,-0.1062015,0.3402705,1.509031,0.003782354,0.004705399,0.001277685,51.20653784,2
R0,-0.102818,0.344553,1.509398,0.003383428,0.004282475,0.000367165,51.68901762,2
R0,-0.1006999,0.3491032,1.510931,0.002118148,0.004550129,0.001532793,65.03737058,2
R0,-0.09588709,0.3537615,1.511127,0.004812814,0.004658341,0.000196576,44.06559799,2
R0,-0.09151195,0.3585431,1.511822,0.004375137,0.004781574,0.000694394,47.54150748,2
R0,-0.05367716,0.4071573,1.516149,0.03783479,0.04861423,0.004327655,52.10760014,2
R0,-0.04685396,0.4122615,1.517966,0.006823204,0.005104184,0.001816511,36.79878994,1
R0,-0.03997492,0.4174677,1.520361,0.006879035,0.005206257,0.002395272,37.11951278,1
R0,-0.005804832,0.4475704,1.526344,0.03417009,0.0301027,0.005983353,41.37896643,1
R0,0.001750457,0.4526759,1.528967,0.007555289,0.005105495,0.002622604,34.04890498,1
R0,0.009385929,0.4576268,1.531579,0.007635471,0.004950821,0.002612114,32.95927808,1
R0,0.01820213,0.4622191,1.532733,0.008816201,0.004592329,0.001154184,27.51485332,1
R0,0.1156306,0.4939738,1.553375,0.09742846,0.03175467,0.02064228,18.05224303,1
R0,0.1610907,0.4954011,1.560598,0.04546013,0.001427293,0.007222176,1.798301285,1
R0,0.1697274,0.4911413,1.560961,0.008636683,-0.004259795,0.00036335,333.7465087,8
R0,0.1790244,0.4898814,1.562761,0.009296983,-0.001259893,0.001799941,352.2825003,8
R0,0.1890099,0.4861372,1.562697,0.009985521,-0.003744215,-6.41E-05,339.4457425,8
R0,0.1991871,0.4818779,1.562673,0.01017721,-0.004259288,-2.42E-05,337.2900881,8
R0,0.2093211,0.4779241,1.564563,0.01013394,-0.003953785,0.001890063,338.6866181,8
R0,0.2732111,0.3101755,1.58238,0.06389007,-0.1677485,0.01781702,290.8502462,7
R0,0.2957156,0.3065393,1.582514,0.02250448,-0.003636211,0.000134468,350.8216332,8
R0,0.296519,0.2936649,1.582056,0.000803381,-0.01287439,-0.000458121,273.5707125,7
R0,0.3003403,0.2826477,1.582699,0.003821313,-0.01101726,0.000643253,289.1289934,7
R0,0.3024594,0.2718533,1.583283,0.002119064,-0.0107944,0.000583768,281.1065775,7
R0,0.302478,0.259313,1.584433,1.86E-05,-0.01254028,0.001149893,270.0851031,7
R0,0.2641339,0.2380471,1.585259,-0.03834409,-0.02126585,0.000826359,209.0129992,5
R0,0.2723212,0.231596,1.584608,0.008187294,-0.006451145,-0.00065124,321.7638013,8
R0,0.2762807,0.2271517,1.584109,0.003959477,-0.004444271,-0.000499368,311.6983899,7
R0,0.2795867,0.2218011,1.583812,0.003306031,-0.005350664,-0.000296235,301.7108008,7
R0,0.2807613,0.2144432,1.58373,0.001174629,-0.007357836,-8.24E-05,279.0703469,7
R0,0.2836503,0.2137953,1.58774,0.002888948,-0.000647962,0.004009962,347.3583431,8
R0,0.285276,0.21428,1.591476,0.001625687,0.00048478,0.003735781,16.60456878,1
R0,0.2809953,0.2106657,1.590523,-0.004280657,-0.003614366,-0.000952959,220.1760223,5
R0,0.2459491,0.1633398,1.522925,-0.03504618,-0.04732586,-0.06759775,233.4789726,6
R1,-0.08250505,0.2368014,1.466324,0.000418432,0.006909356,0.000332236,86.53438777,2
R1,-0.08237135,0.2424292,1.467257,0.000133701,0.005627826,0.000933409,88.63907571,2
R1,-0.08015609,0.2532029,1.46391,0.002215259,0.01077369,-0.003347397,78.38092568,2
R1,-0.07460871,0.2738729,1.467848,0.005547374,0.02066997,0.00393784,74.97705666,2
R1,-0.05613202,0.3295231,1.472797,0.01847669,0.05565029,0.004949093,71.63309754,2
R1,-0.05190758,0.3341508,1.472409,0.004224442,0.004627615,-0.000387669,47.60777333,2
R1,-0.04686193,0.3352766,1.4727,0.005045652,0.001125872,0.000291109,12.57874822,1
R1,-0.04116156,0.3394599,1.472475,0.005700372,0.004183292,-0.000225663,36.27356687,1
R1,-0.03555543,0.3431618,1.472054,0.005606122,0.003701866,-0.000421047,33.43780506,1
R1,-0.02975458,0.3469399,1.471724,0.005800854,0.00377807,-0.000329852,33.07601638,1
R1,-0.02378059,0.352191,1.47223,0.005973989,0.005251169,0.000506043,41.31564773,1
R1,-0.01516131,0.356842,1.471755,0.00861928,0.00465101,-0.000474453,28.35153866,1
R1,0.0295909,0.3901798,1.469681,0.04475221,0.03333774,-0.002074599,36.68392351,1
R1,0.03857555,0.3922323,1.469541,0.008984653,0.002052516,-0.000139952,12.86821991,1
R1,0.04737216,0.393532,1.469908,0.00879661,0.001299739,0.000366926,8.404899609,1
R1,0.05686577,0.3975385,1.470302,0.009493608,0.004006445,0.000394583,22.88047442,1
R1,0.06761038,0.4042422,1.469892,0.01074461,0.006703734,-0.000410438,31.96069871,1
R1,0.07641631,0.405011,1.47099,0.008805931,0.000768781,0.001098633,4.989420337,1
R1,0.0866976,0.4093904,1.471179,0.01028129,0.004379451,0.000188232,23.07221904,1
R1,0.09668753,0.4132169,1.471825,0.009989925,0.003826469,0.000645876,20.958479,1
R1,0.1076873,0.4134501,1.471702,0.01099982,0.000233173,-0.000122786,1.214369977,1
R1,0.1195275,0.418222,1.472809,0.01184014,0.004771948,0.001107216,21.95098164,1
R1,0.131228,0.4213628,1.472637,0.0117005,0.003140748,-0.000171661,15.02562114,1
R1,0.1419889,0.4224096,1.474125,0.01076092,0.001046807,0.001487613,5.556169752,1
R1,0.1521925,0.4224622,1.475187,0.01020363,5.26E-05,0.001062512,0.295364917,1
R1,0.1626737,0.4230509,1.475786,0.01048121,0.000588745,0.000599027,3.215009233,1
