Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R0,0.01038066,0.2831446,1.283984,,,,
R0,0.009441843,0.2876415,1.282639,-0.000938817,0.0044969,101.7922553,3
R0,0.009847613,0.2914063,1.281627,0.00040577,0.0037648,83.84840976,2
R0,0.009951057,0.2940084,1.279808,0.000103444,0.0026021,87.72345978,2
R0,0.01050395,0.2950023,1.280426,0.000552893,0.0009939,60.91340987,2
R0,0.01191597,0.2971739,1.278381,0.00141202,0.0021716,56.96723044,2
R0,0.01199896,0.2980377,1.278371,8.30E-05,0.0008638,84.51212437,2
R0,0.01677645,0.3288567,1.27271,0.00477749,0.030819,81.18827758,2
R0,0.01821491,0.3355131,1.271994,0.00143846,0.0066564,77.80579438,2
R0,0.01963881,0.3403684,1.273725,0.0014239,0.0048553,73.65532004,2
R0,0.02134741,0.3474769,1.273364,0.0017086,0.0071085,76.48475805,2
R0,0.02304938,0.3532275,1.275173,0.00170197,0.0057506,73.5131481,2
R0,0.05802502,0.4065542,1.277025,0.03497564,0.0533267,56.74013978,2
R0,0.06315241,0.4109374,1.276189,0.00512739,0.0043832,40.52580432,1
R0,0.06795071,0.4168155,1.278661,0.0047983,0.0058781,50.77519735,2
R0,0.0743247,0.4201414,1.27803,0.00637399,0.0033259,27.55521384,1
R0,0.09741589,0.438579,1.273765,0.02309119,0.0184376,38.60628151,1
R0,0.1057033,0.4455031,1.27246,0.00828741,0.0069241,39.87863008,1
R0,0.1149686,0.4518003,1.271408,0.0092653,0.0062972,34.20215151,1
R0,0.1242439,0.454748,1.270132,0.0092753,0.0029477,17.63031082,1
R0,0.1335481,0.4574543,1.268942,0.0093042,0.0027063,16.21805684,1
R0,0.2848109,0.48854,1.283523,0.1512628,0.0310857,11.61305019,1
R0,0.3160192,0.48557,1.291798,0.0312083,-0.00297,354.5637054,8
R0,0.326072,0.4833773,1.29391,0.0100528,-0.0021927,347.6954563,8
R0,0.3353192,0.4794973,1.295733,0.0092472,-0.00388,337.237738,8
R0,0.3458735,0.4746141,1.296339,0.0105543,-0.0048832,335.1712474,8
R0,0.3572029,0.4699033,1.297962,0.0113294,-0.0047108,337.4223058,8
R0,0.36818,0.4635015,1.299243,0.0109771,-0.0064018,329.7494372,8
R0,0.4569114,0.3676434,1.295876,0.0887314,-0.0958581,312.7890014,7
R0,0.4685226,0.3655083,1.294062,0.0116112,-0.0021351,349.5806866,8
R0,0.4759218,0.3451083,1.291891,0.0073992,-0.0204,289.9360061,7
R0,0.4801463,0.3335488,1.292171,0.0042245,-0.0115595,290.0751838,7
R0,0.5109555,0.249975,1.291204,0.0308092,-0.0835738,290.2362387,7
R0,0.5074181,0.1971722,1.282625,-0.0035374,-0.0528028,266.1673302,6
R0,0.5085257,0.1944121,1.281588,0.0011076,-0.0027601,291.8650885,7
R0,0.5102085,0.1897472,1.282585,0.0016828,-0.0046649,289.8362277,7
R0,0.5120323,0.1848467,1.285094,0.0018238,-0.0049005,290.4135608,7
R0,0.5052016,0.1783932,1.287962,-0.0068307,-0.0064535,223.3735443,5
R0,0.4938642,0.1715467,1.291158,-0.0113374,-0.0068465,211.1272008,5
R0,0.4811825,0.1626533,1.29316,-0.0126817,-0.0088934,215.0411428,5
R1,-0.06952666,0.2558033,1.409841,-0.55070916,0.09315,170.3995431,4
R1,-0.06981842,0.2571013,1.410097,-0.00029176,0.001298,102.6681987,3
R1,-0.0700154,0.2605626,1.41103,-0.00019698,0.0034613,93.25714682,3
R1,-0.07004489,0.261468,1.411575,-2.95E-05,0.0009054,91.86553502,3
R1,-0.06684765,0.2912058,1.413639,0.00319724,0.0297378,83.86345431,2
R1,-0.05582651,0.3229173,1.413228,0.01102114,0.0317115,70.8354138,2
R1,-0.03514615,0.3541553,1.420925,0.02068036,0.031238,56.49441551,2
