Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R0,-0.0140065,0.2962704,1.426013,,,,
R0,-0.01579521,0.3002497,1.42918,-0.00178871,0.0039793,114.2040927,3
R0,-0.01763051,0.3040971,1.429325,-0.0018353,0.0038474,115.5022363,3
R0,-0.02142815,0.3106831,1.429179,-0.00379764,0.006586,119.9687441,3
R0,-0.02757207,0.3112062,1.433438,-0.00614392,0.0005231,175.1335117,4
R0,-0.0126861,0.3176182,1.424331,0.01488597,0.006412,23.30353397,1
R0,0.01604638,0.3253405,1.4102,0.02873248,0.0077223,15.04363021,1
R0,0.02735946,0.3195519,1.405436,0.01131308,-0.0057886,332.9023902,8
R0,0.06094405,0.316336,1.3894,0.03358459,-0.0032159,354.5303063,8
R0,0.1304469,0.3061231,1.367502,0.06950285,-0.0102129,351.6406559,8
R0,0.1569398,0.3083353,1.364174,0.0264929,0.0022122,4.773217029,1
R0,0.248353,0.2952087,1.346298,0.0914132,-0.0131266,351.8283967,8
R0,0.4087507,0.2814392,1.346699,0.1603977,-0.0137695,355.0934163,8
R0,0.4066115,0.2817002,1.345371,-0.0021392,0.000261,173.0438241,4
R0,0.3960798,0.2814363,1.342875,-0.0105317,-0.0002639,181.4353991,5
R0,0.3883227,0.2825215,1.342094,-0.0077571,0.0010852,172.0361416,4
R0,0.3802471,0.284437,1.341673,-0.0080756,0.0019155,166.6562707,4
R0,0.3709408,0.2877397,1.341115,-0.0093063,0.0033027,160.4608051,4
R0,0.3620214,0.288446,1.341659,-0.0089194,0.0007063,175.4723703,4
R0,0.3499466,0.2900191,1.341154,-0.0120748,0.0015731,172.5773353,4
R0,0.2219505,0.3123357,1.358452,-0.1279961,0.0223166,170.1096856,4
R0,0.213946,0.3137561,1.360916,-0.0080045,0.0014204,169.9375977,4
R0,0.2041711,0.3144478,1.362231,-0.0097749,0.0006917,175.9523331,4
R0,0.1933351,0.3142199,1.364641,-0.010836,-0.0002279,181.2048527,5
R0,0.1811104,0.3158863,1.365867,-0.0122247,0.0016664,172.2376157,4
R0,0.1712506,0.3169753,1.367845,-0.0098598,0.001089,173.6973135,4
R0,0.1580158,0.3154098,1.369028,-0.0132348,-0.0015655,186.745979,5
R0,0.1463519,0.3142993,1.370268,-0.0116639,-0.0011105,185.4386398,5
R0,0.1322787,0.3138091,1.372729,-0.0140732,-0.0004902,181.9949294,5
R0,0.07056449,0.3186468,1.377727,-0.06171421,0.0048377,175.517821,4
R0,0.06315253,0.315627,1.377506,-0.00741196,-0.0030198,202.1670923,5
R0,0.003446919,0.316883,1.382765,-0.059705611,0.001256,178.7948723,4
R0,-0.002196633,0.3148096,1.381663,-0.005643552,-0.0020734,200.1729653,5
R0,-0.01004572,0.3156285,1.382837,-0.007849087,0.0008189,174.0438449,4
R0,-0.01988008,0.3171151,1.384513,-0.00983436,0.0014866,171.4040276,4
R0,-0.03260045,0.3201109,1.385511,-0.01272037,0.0029958,166.7476509,4
R0,-0.04082942,0.3220016,1.38763,-0.00822897,0.0018907,167.0602179,4
R0,-0.04984063,0.3209411,1.388855,-0.00901121,-0.0010605,186.7120798,5
R0,-0.057124,0.3218148,1.389803,-0.00728337,0.0008737,173.1595872,4
R0,-0.1164389,0.3443353,1.391252,-0.0593149,0.0225205,159.2093849,4
R1,0.08194077,0.3037784,1.462624,0.19837967,-0.0405569,348.4456244,8
R1,0.1120682,0.3061129,1.462901,0.03012743,0.0023345,4.430854246,1
R1,0.1191702,0.3058908,1.462839,0.007102,-0.0002221,358.2087797,8
R1,0.1272612,0.3030892,1.462098,0.008091,-0.0028016,340.9010114,8
R1,0.1386543,0.3023188,1.461254,0.0113931,-0.0007704,356.1315555,8
R1,0.1504188,0.2993804,1.459159,0.0117645,-0.0029384,345.9762479,8
R1,0.1625563,0.295719,1.457865,0.0121375,-0.0036614,343.2135303,8
R1,0.1764979,0.2927683,1.456587,0.0139416,-0.0029507,348.0498619,8
R1,0.1891257,0.2891439,1.452893,0.0126278,-0.0036244,343.9855928,8
R1,0.2545458,0.2894744,1.451081,0.0654201,0.0003305,0.289453762,1
R1,0.2754661,0.2892122,1.453313,0.0209203,-0.0002622,359.2819335,8
R1,0.2832991,0.2899344,1.452945,0.007833,0.0007222,5.267758856,1
R1,0.3286208,0.2913212,1.454884,0.0453217,0.0013868,1.752648338,1
R1,0.3298159,0.2910979,1.454648,0.0011951,-0.0002233,349.4165318,8
R1,0.3307555,0.2885262,1.453054,0.0009396,-0.0025717,290.0703541,7
R1,0.3285347,0.2862765,1.453523,-0.0022208,-0.0022497,225.3703892,6
R1,0.3270548,0.2874694,1.454309,-0.0014799,0.0011929,141.1288248,4
R1,0.324398,0.2842426,1.454144,-0.0026568,-0.0032268,230.5335155,6
R1,0.3213643,0.2835668,1.453771,-0.0030337,-0.0006758,192.5584005,5
R1,0.3177269,0.2828566,1.45454,-0.0036374,-0.0007102,191.0479719,5
R1,0.3163507,0.2820546,1.455775,-0.0013762,-0.000802,210.2320983,5
R1,0.3119721,0.2827488,1.457541,-0.0043786,0.0006942,170.9910915,4
R1,0.3065806,0.2819149,1.45662,-0.0053915,-0.0008339,188.7922338,5
R1,0.3025486,0.2837045,1.458976,-0.004032,0.0017896,156.0659964,4
R1,0.2978199,0.2848835,1.459427,-0.0047287,0.001179,165.9999695,4
R1,0.2913833,0.2868215,1.46073,-0.0064366,0.001938,163.2434437,4
R1,0.2840466,0.2885303,1.463921,-0.0073367,0.0017088,166.8889145,4
R1,0.2437781,0.2888444,1.471723,-0.0402685,0.0003141,179.5530939,5
R1,0.1699859,0.2908091,1.479769,-0.0737922,0.0019647,178.4748736,4
R1,0.1632385,0.2931886,1.479984,-0.0067474,0.0023795,160.5745798,4
R1,0.1543789,0.2959397,1.480829,-0.0088596,0.0027511,162.7492858,4
R1,0.142192,0.2967476,1.482466,-0.0121869,0.0008079,176.2072693,4
R1,0.1301965,0.2989956,1.481749,-0.0119955,0.002248,169.38568,4
R1,0.1167854,0.3004054,1.483315,-0.0134111,0.0014098,173.9990003,4
R1,0.1062172,0.300805,1.482814,-0.0105682,0.0003996,177.8345895,4
R1,0.09400533,0.3021338,1.48323,-0.01221187,0.0013288,173.7899545,4
R1,0.02501533,0.2978919,1.486187,-0.06899,-0.0042419,183.518443,5
R1,0.01825999,0.2981417,1.485928,-0.00675534,0.0002498,177.8822728,4
R1,0.008484352,0.2988986,1.486009,-0.009775638,0.0007569,175.5725832,4
R1,-0.000672553,0.2982801,1.487468,-0.009156905,-0.0006185,183.8641544,5
R2,-0.01188597,0.2674634,1.428695,-0.011213417,-0.0308167,250.0048343,6
R2,-0.000312731,0.2667672,1.426255,0.011573239,-0.0006962,356.5574625,8
R2,0.01169608,0.2660012,1.423857,0.012008811,-0.000766,356.3502474,8
R2,0.02330799,0.2631025,1.423706,0.01161191,-0.0028987,345.9836229,8
R2,0.03533268,0.2608232,1.422838,0.01202469,-0.0022793,349.2668277,8
R2,0.09947578,0.2596048,1.424754,0.0641431,-0.0012184,358.9117959,8
R2,0.1065621,0.2589915,1.426315,0.00708632,-0.0006133,355.0535458,8
R2,0.1150682,0.2599996,1.426508,0.0085061,0.0010081,6.75887939,1
R2,0.1236245,0.2600739,1.427093,0.0085563,7.43E-05,0.497524563,1
R2,0.1333638,0.2592852,1.427599,0.0097393,-0.0007887,355.3702232,8
R2,0.1425632,0.2606474,1.427245,0.0091994,0.0013622,8.422860868,1
R2,0.1538225,0.2607429,1.427168,0.0112593,9.55E-05,0.485964113,1
R2,0.1675734,0.2600577,1.426235,0.0137509,-0.0006852,357.1473414,8
R2,0.1785581,0.2609906,1.424747,0.0109847,0.0009329,4.854322645,1
R2,0.1894105,0.2605151,1.424112,0.0108524,-0.0004755,357.491179,8
R2,0.2011075,0.261118,1.423838,0.011697,0.0006029,2.950592761,1
R2,0.2135781,0.2609992,1.423436,0.0124706,-0.0001188,359.4541936,8
R2,0.2261785,0.2596378,1.423746,0.0126004,-0.0013614,353.8334449,8
R2,0.2345933,0.261153,1.422548,0.0084148,0.0015152,10.20750873,1
R2,0.2450488,0.2597287,1.422286,0.0104555,-0.0014243,352.242635,8
R2,0.2970256,0.2504168,1.419793,0.0519768,-0.0093119,349.8429325,8
R2,0.3008737,0.2563143,1.421518,0.0038481,0.0058975,56.87567964,2
R2,0.3810908,0.2511577,1.414013,0.0802171,-0.0051566,356.3219132,8
R2,0.3844432,0.2525155,1.414737,0.0033524,0.0013578,22.0490927,1
R2,0.3933348,0.2523998,1.415442,0.0088916,-0.0001157,359.2544933,8
R2,0.3985891,0.2530133,1.416814,0.0052543,0.0006135,6.659786118,1
R2,0.403569,0.2564334,1.421402,0.0049799,0.0034201,34.4805344,1
R2,0.4022981,0.256782,1.420543,-0.0012709,0.0003486,164.6613726,4
R2,0.3790475,0.2490826,1.410341,-0.0232506,-0.0076994,198.3222086,5
R2,0.3714553,0.2496852,1.408727,-0.0075922,0.0006026,175.4618942,4
R2,0.365835,0.2477096,1.407354,-0.0056203,-0.0019756,199.3671606,5
R2,0.3586657,0.2472902,1.406086,-0.0071693,-0.0004194,183.3479551,5
R2,0.3507124,0.2476728,1.405522,-0.0079533,0.0003826,177.2458629,4
R2,0.3435196,0.2478478,1.404436,-0.0071928,0.000175,178.6062752,4
R2,0.3335832,0.2474138,1.405298,-0.0099364,-0.000434,182.5009635,5
R2,0.322508,0.2473162,1.405187,-0.0110752,-9.76E-05,180.504905,5
R2,0.2554653,0.2525425,1.414073,-0.0670427,0.0052263,175.5425339,4
R2,0.1511218,0.2673688,1.429252,-0.1043435,0.0148263,171.9129061,4
R2,0.1454389,0.2688947,1.42936,-0.0056829,0.0015259,164.9701703,4
R2,0.03472129,0.2846086,1.449356,-0.11071761,0.0157139,171.9220904,4
R3,0.2278457,0.3034969,1.295,0.19312441,0.0188883,5.585978773,1
R3,0.239781,0.3027261,1.292431,0.0119353,-0.0007708,356.3048821,8
R3,0.4154662,0.309329,1.267899,0.1756852,0.0066029,2.152374384,1
R3,0.4177258,0.3038179,1.267514,0.0022596,-0.0055111,292.2940653,7
