Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R0,0.08291577,0.3516805,1.342091,,,,
R0,0.07658943,0.3683367,1.338497,-0.00632634,0.0166562,110.7977248,3
R0,0.07371725,0.3737309,1.336615,-0.00287218,0.0053942,118.0333855,3
R0,0.06448201,0.2930163,1.299243,-0.00923524,-0.0807146,263.4726908,6
R0,0.05729875,0.26467,1.299269,-0.00718326,-0.0283463,255.779973,6
R0,0.056536,0.2550729,1.297355,-0.00076275,-0.0095971,265.4558475,6
R0,0.05706561,0.2434417,1.295777,0.00052961,-0.0116312,272.6070803,7
R0,0.05746874,0.2347029,1.294992,0.00040313,-0.0087388,272.6412418,7
R0,0.05579096,0.217967,1.291895,-0.00167778,-0.0167359,264.2752047,6
R0,0.05593511,0.2075243,1.291296,0.00014415,-0.0104427,270.7908551,7
R0,0.0593441,0.1970194,1.287492,0.00340899,-0.0105049,287.9789867,7
R0,0.05977868,0.1856512,1.287591,0.00043458,-0.0113682,272.1892192,7
R0,0.06293403,0.1779525,1.285628,0.00315535,-0.0076987,292.2865121,7
R0,0.06574199,0.1679947,1.284478,0.00280796,-0.0099578,285.7477078,7
R0,0.106878,0.09887764,1.285553,0.04113601,-0.06911706,300.7595995,7
R0,0.1186899,0.09081262,1.290098,0.0118119,-0.00806502,325.6752194,8
R0,0.1275197,0.08541238,1.292094,0.0088298,-0.00540024,328.5503543,8
R0,0.1389057,0.08416149,1.293048,0.011386,-0.00125089,353.7305076,8
R0,0.1474011,0.08245824,1.294516,0.0084954,-0.00170325,348.6630279,8
R0,0.1594265,0.08310618,1.297042,0.0120254,0.00064794,3.084168843,1
R0,0.1707629,0.08609112,1.298984,0.0113364,0.00298494,14.75148865,1
R0,0.1782237,0.09041728,1.30173,0.0074608,0.00432616,30.10738865,1
R0,0.1853995,0.09697518,1.30329,0.0071758,0.0065579,42.42391322,1
R0,0.2001742,0.1228386,1.305629,0.0147747,0.02586342,60.26246252,2
R0,0.205153,0.130482,1.307323,0.0049788,0.0076434,56.92036192,2
R0,0.2191856,0.1849081,1.320983,0.0140326,0.0544261,75.54238473,2
R0,0.2172279,0.1958626,1.324345,-0.0019577,0.0109545,100.1324737,3
R0,0.2156414,0.2067187,1.325328,-0.0015865,0.0108561,98.314295,3
R0,0.212964,0.2491468,1.332146,-0.0026774,0.0424281,93.61082817,3
R0,0.2116844,0.2602801,1.333149,-0.0012796,0.0111333,96.55649112,3
R0,0.2120926,0.2725733,1.334073,0.0004082,0.0122932,88.0981724,2
R0,0.2125375,0.2832705,1.335783,0.0004449,0.0106972,87.61842259,2
R0,0.2125204,0.2952632,1.337875,-1.71E-05,0.0119927,90.08169613,3
R0,0.2128831,0.3064763,1.338219,0.0003627,0.0112131,88.14735121,2
R0,0.2160996,0.3554933,1.34389,0.0032165,0.049017,86.24562833,2
R0,0.2175349,0.3628838,1.344551,0.0014353,0.0073905,79.0094703,2
R0,0.2749231,0.4072338,1.34476,0.0573882,0.04435,37.69709888,1
R0,0.2839622,0.4059199,1.343795,0.0090391,-0.0013139,351.7295584,8
R0,0.296288,0.4061329,1.343898,0.0123258,0.000213,0.990019832,1
R0,0.3218192,0.4003969,1.34417,0.0255312,-0.005736,347.3378166,8
R1,0.1002515,0.3074834,1.427952,-0.2215677,-0.0929135,202.7505393,5
R1,0.09795924,0.3083204,1.428805,-0.00229226,0.000837,159.9407475,4
R1,0.09622492,0.3054878,1.426862,-0.00173432,-0.0028326,238.5220557,6
R1,0.09422824,0.300804,1.426952,-0.00199668,-0.0046838,246.9116963,6
R1,0.0936329,0.2960529,1.424432,-0.00059534,-0.0047511,262.8577374,6
R1,0.09335154,0.287337,1.421102,-0.00028136,-0.0087159,268.1510637,6
R1,0.1501648,0.05355858,1.364641,0.05681326,-0.23377842,283.6593293,7
R1,0.1532098,0.03933296,1.363532,0.003045,-0.01422562,282.0818672,7
R1,0.1591657,0.02636374,1.361824,0.0059559,-0.01296922,294.6661713,7
R1,0.1703041,0.01419618,1.360598,0.0111384,-0.01216756,312.4715377,7
R1,0.1779522,0.004004637,1.358921,0.0076481,-0.010191543,306.8858794,7
R1,0.1877115,-0.004583643,1.358684,0.0097593,-0.00858828,318.6519052,8
R1,0.1983053,-0.01006569,1.359162,0.0105938,-0.005482047,332.6394782,8
R1,0.204919,-0.01136648,1.359598,0.0066137,-0.00130079,348.8730271,8
R1,0.2136616,-0.0112478,1.360198,0.0087426,0.00011868,0.777737226,1
R1,0.2206795,-0.008914742,1.360853,0.0070179,0.002333058,18.38907156,1
R1,0.2269955,-0.002387859,1.36345,0.006316,0.006526883,45.94072492,2
R1,0.2330173,0.004707399,1.36568,0.0060218,0.007095258,49.67847728,2
R1,0.2400804,0.01370778,1.367369,0.0070631,0.009000381,51.87674903,2
R1,0.2455241,0.02552158,1.368354,0.0054437,0.0118138,65.26014599,2
R1,0.2511872,0.03699335,1.371731,0.0056631,0.01147177,63.72650612,2
R1,0.2548155,0.05150024,1.373475,0.0036283,0.01450689,75.95789275,2
R1,0.26389,0.08269729,1.37806,0.0090745,0.03119705,73.78150883,2
R1,0.265841,0.1126878,1.383875,0.001951,0.02999051,86.2779301,2
R1,0.2654707,0.1313752,1.384514,-0.0003703,0.0186874,91.13519542,3
R1,0.2630473,0.1486224,1.387573,-0.0024234,0.0172472,97.99825425,3
R1,0.2605815,0.1663137,1.388629,-0.0024658,0.0176913,97.93472437,3
R1,0.2583493,0.1838184,1.39185,-0.0022322,0.0175047,97.26713814,3
R1,0.2591811,0.2049519,1.394274,0.0008318,0.0211335,87.74604102,2
R1,0.2969316,0.309229,1.406028,0.0377505,0.1042771,70.09868021,2
R1,0.3101505,0.3186757,1.408309,0.0132189,0.0094467,35.55095989,1
R1,0.3239658,0.3296294,1.408378,0.0138153,0.0109537,38.40974956,1
R1,0.3961871,0.3427703,1.411937,0.0722213,0.0131409,10.31233729,1
R1,0.4142677,0.3419171,1.412195,0.0180806,-0.0008532,357.2982909,8
R1,0.4331563,0.3358234,1.413415,0.0188886,-0.0060937,342.1196461,8
R1,0.4515351,0.3273354,1.413194,0.0183788,-0.008488,335.2107852,8
R1,0.4892898,0.3080734,1.414659,0.0377547,-0.019262,332.9698647,8
R1,0.5032282,0.2960227,1.415193,0.0139384,-0.0120507,319.1543432,8
R1,0.5575012,0.02974198,1.431131,0.054273,-0.26628072,281.5201594,7
R1,0.5524598,0.02570636,1.430828,-0.0050414,-0.00403562,218.6771288,5
R2,0.09031919,0.3417372,1.476864,-0.46214061,0.31603084,145.6340668,4
R2,0.08236759,0.2145884,1.446178,-0.0079516,-0.1271488,266.4215111,6
R2,0.08144858,0.2023536,1.44271,-0.00091901,-0.0122348,265.7043272,6
R2,0.08184446,0.1919852,1.440509,0.00039588,-0.0103684,272.1865708,7
R2,0.08193545,0.1827751,1.437487,9.10E-05,-0.0092101,270.5660279,7
R2,0.08253488,0.1723683,1.43587,0.00059943,-0.0104068,273.2965851,7
R2,0.09284081,0.1096954,1.429607,0.01030593,-0.0626729,279.3381455,7
R2,0.09622752,0.1020247,1.430397,0.00338671,-0.0076707,293.8220582,7
R2,0.125545,0.04880988,1.426277,0.02931748,-0.05321482,298.8515547,7
R2,0.1326163,0.04440286,1.426036,0.0070713,-0.00440702,328.0677549,8
R2,0.1473216,0.03043443,1.423135,0.0147053,-0.01396843,316.4720879,8
R2,0.1597832,0.02245755,1.422798,0.0124616,-0.00797688,327.376008,8
R2,0.1712596,0.017445,1.422082,0.0114764,-0.00501255,336.4057264,8
R2,0.1807734,0.01228101,1.422001,0.0095138,-0.00516399,331.5073584,8
R2,0.2000819,0.009385403,1.422506,0.0193085,-0.002895607,351.471173,8
R2,0.2082768,0.009418801,1.423835,0.0081949,3.3398E-05,0.233505455,1
R2,0.2340265,0.05583231,1.425337,0.0257497,0.046413509,60.97897264,2
R2,0.2337504,0.0661573,1.426721,-0.0002761,0.01032499,91.5317783,3
R2,0.2341859,0.08205322,1.429307,0.0004355,0.01589592,88.43066197,2
R2,0.234213,0.09906285,1.430728,2.71E-05,0.01700963,89.90871557,3
R2,0.2356563,0.1190274,1.433805,0.0014433,0.01996455,85.86510161,2
R2,0.2364505,0.1412105,1.435718,0.0007942,0.0221831,87.94957058,2
R2,0.2369651,0.1547014,1.437677,0.0005146,0.0134909,87.81555561,2
R2,0.2382315,0.1710482,1.440345,0.0012664,0.0163468,85.5700972,2
R2,0.239161,0.1883049,1.443229,0.0009295,0.0172567,86.91684891,2
R2,0.2411481,0.2020407,1.445432,0.0019871,0.0137358,81.76836963,2
