Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R0,0.1504838,0.4249414,1.404678,0.007935822,-0.01958528,-0.005643725,,
R0,0.1555966,0.3957527,1.398987,0.005112812,-0.02918866,-0.005690336,279.9353808,7
R0,0.1584907,0.3303366,1.385801,0.002894178,-0.06541607,-0.01318657,272.5332631,7
R0,0.1557207,0.3263852,1.383185,-0.002770036,-0.00395146,-0.002615452,234.9689363,6
R0,0.1572617,0.3166272,1.381257,0.001541033,-0.009757966,-0.001928329,278.974354,7
R0,0.1600314,0.3070695,1.378905,0.002769634,-0.009557724,-0.002352238,286.1605131,7
R0,0.1617706,0.2965008,1.377061,0.001739249,-0.01056868,-0.001844287,279.3451951,7
R0,0.1638342,0.2861602,1.374463,0.002063558,-0.0103406,-0.002597332,281.2856252,7
R0,0.1677571,0.2746347,1.370485,0.003922939,-0.01152545,-0.00397861,288.79713,7
R0,0.1691234,0.2634151,1.369451,0.001366273,-0.01121968,-0.001033783,276.9429908,7
R0,0.1747122,0.2563887,1.368694,0.00558883,-0.007026345,-0.000757098,308.4991151,7
R0,0.1799324,0.2445678,1.367036,0.005220145,-0.01182096,-0.001657367,293.8262899,7
R0,0.2235595,0.2109678,1.3647,0.04362716,-0.0336,-0.002336264,322.3978864,8
R0,0.2298207,0.2117737,1.364936,0.006261155,0.0008059,0.000236154,7.334453178,1
R0,0.2387051,0.2105044,1.364874,0.008884445,-0.001269251,-6.22E-05,351.869616,8
R0,0.2498576,0.207647,1.364237,0.01115249,-0.002857387,-0.000636697,345.6293356,8
R0,0.2722811,0.2056636,1.36435,0.02242346,-0.001983449,0.00011313,354.9451042,8
R0,0.2826468,0.204457,1.365772,0.01036575,-0.001206592,0.001421213,353.3605471,8
R0,0.2956073,0.2065371,1.365732,0.01296046,0.002080142,-3.98E-05,9.118156565,1
R0,0.3107121,0.2097485,1.365642,0.01510477,0.003211394,-9.00E-05,12.00281636,1
R0,0.3198083,0.2127996,1.367805,0.009096265,0.003051117,0.002163172,18.54275345,1
R0,0.3280341,0.2170794,1.369124,0.008225799,0.004279733,0.001319289,27.48713671,1
R0,0.3366939,0.2217782,1.371537,0.00865981,0.004698873,0.002412915,28.48456488,1
R0,0.3465716,0.2265115,1.373791,0.009877622,0.00473322,0.002253294,25.60309703,1
R0,0.3547095,0.2325863,1.377013,0.008137912,0.006074801,0.003222585,36.74065977,1
R0,0.3655306,0.2404743,1.378223,0.01082113,0.007888079,0.001210213,36.09023458,1
R0,0.3766585,0.2488483,1.381302,0.01112792,0.008373946,0.003078699,36.96207304,1
R0,0.3842321,0.2557569,1.385254,0.007573575,0.006908566,0.003952026,42.37086786,1
R0,0.4282809,0.3226725,1.40253,0.04404882,0.0669156,0.01727569,56.64411719,2
R0,0.4302054,0.3313171,1.406705,0.001924515,0.00864464,0.004175067,77.44918994,2
R0,0.4301013,0.3426035,1.411675,-0.000104159,0.01128644,0.004970074,90.5287502,3
R0,0.4319662,0.3582187,1.415807,0.00186497,0.0156152,0.00413239,83.18925493,2
R0,0.4327792,0.3719978,1.420295,0.000812918,0.01377907,0.004487634,86.623659,2
R0,0.4305159,0.382371,1.425913,-0.002263308,0.01037318,0.005618215,102.3083782,3
R0,0.4296815,0.396837,1.431234,-0.000834316,0.01446599,0.005321383,93.30083794,3
R0,0.4270656,0.4122438,1.435359,-0.002615929,0.01540685,0.004124999,99.63635054,3
R0,0.4245664,0.4269835,1.440502,-0.002499193,0.01473972,0.005142212,99.62326218,3
R0,0.4119272,0.4929232,1.458069,-0.01263925,0.06593966,0.01756716,100.8507878,3
R0,0.4021804,0.5065334,1.464984,-0.00974679,0.01361024,0.006914735,125.6078345,3
R0,0.4028588,0.5101975,1.465475,0.00067842,0.003664017,0.000491738,79.51005858,2
R1,0.006359591,0.3764416,1.617656,0.001806561,0.01300225,0.003039837,82.08984157,2
R1,0.01067039,0.3880514,1.617458,0.004310797,0.01160979,-0.000198007,69.62968305,2
R1,0.0153382,0.4017338,1.618314,0.004667816,0.0136824,0.000855923,71.16268026,2
R1,0.02205459,0.4156262,1.618112,0.006716383,0.01389244,-0.000202775,64.19827804,2
R1,0.09918502,0.4668466,1.617039,0.07713044,0.05122042,-0.001072407,33.58715456,1
R1,0.153127,0.4174252,1.606738,0.05394195,-0.0494214,-0.01030087,317.5042096,8
R1,0.1585455,0.4049589,1.602998,0.005418494,-0.01246634,-0.003740788,293.4921728,7
R1,0.1634744,0.3925854,1.598662,0.004928887,-0.01237348,-0.004335165,291.7195101,7
R1,0.1647706,0.3749976,1.596838,0.001296267,-0.01758778,-0.001824617,274.2152326,7
R1,0.1775928,0.2293509,1.563031,0.01282215,-0.1456468,-0.0338068,275.0311158,7
R1,0.1911748,0.210597,1.555206,0.01358202,-0.01875383,-0.007824898,305.9130506,7
R1,0.1987548,0.1990823,1.55249,0.007579967,-0.01151471,-0.002715707,303.3563317,7
R1,0.2073746,0.1916863,1.550543,0.00861989,-0.007396027,-0.001946926,319.3697886,8
R1,0.2169293,0.1826575,1.547552,0.00955461,-0.009028837,-0.002990961,316.6206111,8
R1,0.2269621,0.1723988,1.546462,0.01003289,-0.01025863,-0.001090407,314.3626197,8
R1,0.2380061,0.1639067,1.544824,0.01104392,-0.008492172,-0.001638293,322.4416799,8
R1,0.2508024,0.1566103,1.542306,0.0127963,-0.007296368,-0.002517581,330.3084894,8
R1,0.2630663,0.1500182,1.541298,0.01226395,-0.00659214,-0.001008511,331.7410031,8
R1,0.2743899,0.1455832,1.542044,0.01132357,-0.004434913,0.000745893,338.6120436,8
R1,0.2870122,0.1430752,1.542992,0.01262236,-0.002508074,0.000948906,348.7616568,8
R1,0.2969916,0.1424666,1.545295,0.009979337,-0.000608519,0.002302766,356.5105462,8
R1,0.3078181,0.1448107,1.54867,0.01082653,0.002344072,0.003374934,12.21664961,1
R1,0.3201357,0.1489531,1.551558,0.01231757,0.004142329,0.002888203,18.58750051,1
R1,0.3308044,0.1552495,1.554694,0.01066875,0.006296471,0.003135324,30.54820715,1
R1,0.3414737,0.1631025,1.558582,0.01066926,0.007852957,0.003888607,36.35439763,1
