Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R0,0.3402623,0.3735003,1.381434,-,-,-,-
R0,0.3445862,0.3891465,1.380598,0.0043239,0.0156462,74.55161547,2
R0,0.3495758,0.4003714,1.376985,0.0049896,0.0112249,66.03429063,2
R0,0.5054386,0.3300274,1.318382,0.1558628,-0.070344,335.7093911,8
R0,0.5163185,0.3206233,1.313967,0.0108799,-0.0094041,319.1613282,8
R0,0.5409961,0.3003094,1.3076,0.0246776,-0.0203139,320.5397577,8
R0,0.5511419,0.2855144,1.303136,0.0101458,-0.014795,304.4407202,7
R0,0.5751088,0.1620141,1.281158,0.0239669,-0.1235003,280.9825078,7
R0,0.5961121,0.07604043,1.268478,0.0210033,-0.08597367,283.7284161,7
R0,0.5968642,0.06514714,1.267655,0.0007521,-0.01089329,273.9495762,7
R0,0.5947812,0.05104812,1.268138,-0.002083,-0.01409902,261.5958724,6
R0,0.5910984,0.03879213,1.269204,-0.0036828,-0.01225599,253.2750129,6
R0,0.5876803,0.02825707,1.269353,-0.0034181,-0.01053506,252.0243462,6
R0,0.57929,0.01819165,1.271527,-0.0083903,-0.01006542,230.1861993,6
R0,0.5720301,0.008623374,1.271723,-0.0072599,-0.009568276,232.810703,6
R0,0.5597481,-7.28E-05,1.271545,-0.012282,-0.008696174,215.3001034,5
R0,0.5507588,-0.006936015,1.271527,-0.0089893,-0.006863215,217.3612687,5
R0,0.4866238,-0.03838354,1.277969,-0.064135,-0.031447525,206.1202504,5
R0,0.479597,-0.04175312,1.280943,-0.0070268,-0.00336958,205.6192387,5
R0,0.4686446,-0.04422262,1.284952,-0.0109524,-0.0024695,192.7063228,5
R0,0.4567676,-0.04632975,1.288692,-0.011877,-0.00210713,190.0603172,5
R0,0.4428317,-0.04849829,1.292044,-0.0139359,-0.00216854,188.8447583,5
R0,0.430957,-0.04805345,1.296768,-0.0118747,0.00044484,177.854637,4
R0,0.4197106,-0.04798342,1.301087,-0.0112464,7.003E-05,179.6432306,5
R0,0.4074112,-0.0460679,1.304624,-0.0122994,0.00191552,171.1478155,4
R0,0.3953286,-0.04279834,1.307689,-0.0120826,0.00326956,164.8583508,4
R0,0.381253,-0.03730802,1.310211,-0.0140756,0.00549032,158.6912627,4
R0,0.3692005,-0.03142175,1.312598,-0.0120525,0.00588627,153.9697731,4
R0,0.3589042,-0.02346714,1.313743,-0.0102963,0.00795461,142.3114108,4
R0,0.3463009,-0.01693098,1.315005,-0.0126033,0.00653616,152.5884279,4
R0,0.3378854,0.000605225,1.318621,-0.0084155,0.017536205,115.6360176,3
R0,0.1784857,0.1443716,1.344626,-0.1593997,0.143766375,137.9519492,4
R0,0.1696316,0.1565802,1.342366,-0.0088541,0.0122086,125.9509241,3
R0,0.160819,0.1710729,1.342153,-0.0088126,0.0144927,121.3025985,3
R0,0.1527545,0.182443,1.340777,-0.0080645,0.0113701,125.3470321,3
R0,0.1508339,0.1985701,1.338737,-0.0019206,0.0161271,96.79145177,3
R0,0.1745465,0.3693168,1.346911,0.0237126,0.1707467,82.09356796,2
R0,0.1839589,0.3739516,1.346023,0.0094124,0.0046348,26.21629262,1
R0,0.1953367,0.3815193,1.345724,0.0113778,0.0075677,33.62901414,1
R0,0.2065231,0.3823386,1.345219,0.0111864,0.0008193,4.188904833,1
R1,-0.008638707,0.404624,1.436956,-0.215161807,0.0222854,174.0866709,4
R1,-0.005492535,0.4028707,1.434931,0.003146172,-0.0017533,330.8699329,8
R1,-0.00352329,0.3999099,1.434514,0.001969245,-0.0029608,303.6281057,7
R1,0.002714722,0.3959382,1.434616,0.006238012,-0.0039717,327.5153686,8
R1,0.008933845,0.3912482,1.435286,0.006219123,-0.00469,322.979118,8
R1,0.01588813,0.3864231,1.435874,0.006954285,-0.0048251,325.2458796,8
R1,0.1049053,0.3075162,1.451908,0.08901717,-0.0789069,318.4454702,8
R1,0.1455868,0.2247015,1.461583,0.0406815,-0.0828147,296.1618979,7
R1,0.1337007,0.1997395,1.458314,-0.0118861,-0.024962,244.5377152,6
R1,0.1342172,0.1816144,1.456689,0.0005165,-0.0181251,271.6322814,7
R1,0.1313027,0.1633633,1.456295,-0.0029145,-0.0182511,260.9270978,6
R1,0.07807808,0.03693983,1.44229,-0.05322462,-0.12642347,247.1687768,6
R1,0.06969692,0.03111896,1.438435,-0.00838116,-0.00582087,214.7806908,5
R1,0.05810647,0.02485456,1.43461,-0.01159045,-0.0062644,208.3903104,5
R1,0.05081145,0.02247481,1.430917,-0.00729502,-0.00237975,198.0671388,5
R1,0.03464115,0.01569176,1.426371,-0.0161703,-0.00678305,202.7568716,5
R1,0.02260442,0.01317722,1.423455,-0.01203673,-0.00251454,191.7997085,5
R1,0.0145144,0.01132259,1.422021,-0.00809002,-0.00185463,192.9118973,5
R1,0.001844466,0.008882505,1.420373,-0.012669934,-0.002440085,190.9010477,5
R1,-0.01010657,0.006900137,1.419711,-0.011951036,-0.001982368,189.4181362,5
R1,-0.01871067,0.007053797,1.418301,-0.0086041,0.00015366,178.9768676,4
R1,-0.08885821,0.009114441,1.4067,-0.07014754,0.002060644,178.3173714,4
R1,-0.1766121,0.0481727,1.379442,-0.08775389,0.039058259,156.0066972,4
R1,-0.2032605,0.04885461,1.369712,-0.0266484,0.00068191,178.5341694,4
R1,-0.2168865,0.06014864,1.363336,-0.013626,0.01129403,140.3460637,4
R1,-0.2303347,0.07089608,1.358151,-0.0134482,0.01074744,141.3690915,4
R1,-0.2424656,0.08391949,1.353802,-0.0121309,0.01302341,132.9679183,3
R1,-0.2493571,0.1030342,1.352331,-0.0068915,0.01911471,109.8259498,3
R1,-0.2609926,0.1226863,1.34828,-0.0116355,0.0196521,120.6286777,3
R1,-0.2682726,0.1327575,1.346391,-0.00728,0.0100712,125.8614084,3
R1,-0.2738174,0.1435586,1.343028,-0.0055448,0.0108011,117.1739291,3
R1,-0.2795265,0.1554163,1.339493,-0.0057091,0.0118577,115.7093145,3
R1,-0.2820164,0.1681883,1.337443,-0.0024899,0.012772,101.0314431,3
R1,-0.2914977,0.1806762,1.337299,-0.0094813,0.0124879,127.2071835,3
R1,-0.2942622,0.1952672,1.336476,-0.0027645,0.014591,100.7284403,3
R1,-0.2968584,0.2112344,1.335216,-0.0025962,0.0159672,99.23523508,3
R1,-0.3023186,0.2264992,1.335161,-0.0054602,0.0152648,109.6820668,3
R1,-0.2946135,0.3002212,1.334914,0.0077051,0.073722,84.03335913,2
R1,-0.2882016,0.3054922,1.332474,0.0064119,0.005271,39.42243474,1
R1,-0.2810998,0.3141981,1.332333,0.0071018,0.0087059,50.79430433,2
R2,-0.04517374,0.3555856,1.409017,0.23592606,0.0413875,9.949911197,1
R2,-0.03396416,0.3526789,1.408351,0.01120958,-0.0029067,345.4630899,8
R2,-0.02186032,0.347034,1.409047,0.01210384,-0.0056449,334.9969412,8
R2,-0.009291453,0.3423924,1.408977,0.012568867,-0.0046416,339.7311432,8
R2,0.00179864,0.3326518,1.408173,0.011090093,-0.0097406,318.7066628,8
R2,0.01399452,0.3231285,1.409281,0.01219588,-0.0095233,322.0150729,8
R2,0.02684603,0.3174437,1.409454,0.01285151,-0.0056848,336.1380415,8
R2,0.04004458,0.3064572,1.411292,0.01319855,-0.0109865,320.2259339,8
R2,0.05192943,0.292809,1.411177,0.01188485,-0.0136482,311.0493421,7
R2,0.06544154,0.280844,1.413319,0.01351211,-0.011965,318.475047,8
R2,0.07560155,0.2669646,1.414515,0.01016001,-0.0138794,306.204905,7
R2,0.08456127,0.2489344,1.41596,0.00895972,-0.0180302,296.4240905,7
R2,0.09473042,0.231844,1.417546,0.01016915,-0.0170904,300.7535418,7
R2,0.09750663,0.1886723,1.418268,0.00277621,-0.0431717,273.6794103,7
R2,0.1041639,0.1575642,1.415048,0.00665727,-0.0311081,282.0793452,7
R2,0.1070745,0.1430621,1.416223,0.0029106,-0.0145021,281.3486001,7
R2,0.1077264,0.1259023,1.417552,0.0006519,-0.0171598,272.1756177,7
R2,0.1067534,0.1109372,1.418462,-0.000973,-0.0149651,266.2799824,6
R2,0.1052932,0.09617485,1.419001,-0.0014602,-0.01476235,264.3510325,6
R2,0.1034145,0.08431412,1.419072,-0.0018787,-0.01186073,260.9993171,6
R2,0.06610803,0.02172203,1.410486,-0.03730647,-0.06259209,239.2039877,6
R2,-0.04441552,-0.02235274,1.40036,-0.11052355,-0.04407477,201.7412092,5
R2,-0.05154301,-0.01997216,1.400546,-0.00712749,0.00238058,161.5306926,4
R2,-0.06366031,-0.01638341,1.401157,-0.0121173,0.00358875,163.5024247,4
R2,-0.08026569,-0.01127962,1.399438,-0.01660538,0.00510379,162.9147906,4
R2,-0.09716238,-0.005716969,1.397356,-0.01689669,0.005562651,161.7776577,4
R2,-0.1117623,-0.000561754,1.396752,-0.01459992,0.005155215,160.5519321,4
R2,-0.2652638,0.1565051,1.361075,-0.1535015,0.157066854,134.3422679,4
R2,-0.2809378,0.1623944,1.355103,-0.015674,0.0058893,159.4069484,4
R2,-0.2840408,0.1746864,1.35342,-0.003103,0.012292,104.1677788,3
R2,-0.2851479,0.1837903,1.350898,-0.0011071,0.0091039,96.93353596,3
R2,-0.2850174,0.1938868,1.348613,0.0001305,0.0100965,89.25947775,3
R2,-0.2872725,0.2073206,1.342544,-0.0022551,0.0134338,99.52925884,3
R2,-0.148185,0.3317486,1.34982,0.1390875,0.124428,41.8158889,1
R2,-0.1415692,0.3332249,1.349575,0.0066158,0.0014763,12.57932386,1
R2,-0.131671,0.3369353,1.351666,0.0098982,0.0037104,20.54881321,1
R2,-0.1206303,0.3419445,1.35392,0.0110407,0.0050092,24.4039438,1
R2,-0.1093305,0.3484446,1.357841,0.0112998,0.0065001,29.90924661,1
