Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R0,0.1573877,0.3339131,1.167646,,,,
R0,0.158732,0.3331529,1.166886,0.0013443,-0.0007602,330.511894,8
R0,0.1604268,0.3332651,1.166912,0.0016948,1.12E-04,3.787597007,1
R0,0.1634741,0.3330135,1.166677,0.0030473,-0.0002516,355.2800858,8
R0,0.1668804,0.3350483,1.167521,0.0034063,2.03E-03,30.85256236,1
R0,0.1714288,0.3338641,1.167453,0.0045484,-0.0011842,345.4067178,8
R0,0.2714046,0.3346079,1.173523,0.0999758,7.44E-04,0.426261301,1
R0,0.2771351,0.3357891,1.174043,0.0057305,0.0011812,11.64697727,1
R0,0.2892952,0.3334682,1.174133,0.0121601,-2.32E-03,349.1943769,8
R0,0.2965077,0.3331592,1.175123,0.0072125,-0.000309,357.5468179,8
R0,0.3029211,0.3326557,1.173783,0.0064134,-5.03E-04,355.5110589,8
R0,0.3089013,0.3308019,1.172845,0.0059802,-0.0018538,342.7771057,8
R0,0.3136995,0.3307446,1.172029,0.0047982,-5.73E-05,359.3158076,8
R0,0.3177245,0.3293253,1.170674,0.004025,-0.0014193,340.5762735,8
R0,0.3236952,0.3297575,1.170157,0.0059707,4.32E-04,4.140238076,1
R0,0.3591775,0.329506,1.171044,0.0354823,-0.0002515,359.593892,8
R0,0.3630653,0.3292667,1.172812,0.0038878,-2.39E-04,356.4778012,8
R0,0.3684069,0.3310263,1.174611,0.0053416,0.0017596,18.23262769,1
R0,0.3779304,0.3304155,1.17651,0.0095235,-6.11E-04,356.3302992,8
R0,0.3845556,0.3318537,1.176403,0.0066252,0.0014382,12.24775418,1
R0,0.3921237,0.3329394,1.177289,0.0075681,1.09E-03,8.163804254,1
R0,0.3985322,0.3332087,1.176665,0.0064085,0.0002693,2.406285511,1
R0,0.4047161,0.3321756,1.176993,0.0061839,-1.03E-03,350.5155927,8
R0,0.4100112,0.3315619,1.17744,0.0052951,-0.0006137,353.388938,8
R0,0.4686053,0.3289235,1.185239,0.0585941,-2.64E-03,357.4218029,8
R0,0.4762875,0.3280333,1.185676,0.0076822,-0.0008902,353.3901445,8
R0,0.4823854,0.3285992,1.187438,0.0060979,5.66E-04,5.302002152,1
R0,0.4856889,0.3292134,1.187831,0.0033035,0.0006142,10.53240012,1
R0,0.4935377,0.3280864,1.187259,0.0078488,-1.13E-03,351.8288178,8
R0,0.5327615,0.3214972,1.190785,0.0392238,-0.0065892,350.4639302,8
R0,0.5354549,0.319157,1.190932,0.0026934,-2.34E-03,319.0137783,8
R0,0.5395559,0.3175485,1.191665,0.004101,-0.0016085,338.5838253,8
R0,0.5417223,0.3169245,1.191152,0.0021664,-6.24E-04,343.9317239,8
R0,0.5460319,0.3146702,1.191307,0.0043096,-0.0022543,332.3864743,8
R0,0.5603102,0.3149234,1.192815,0.0142783,2.53E-04,1.015931236,1
R0,0.5666191,0.3139929,1.19618,0.0063089,-0.0009305,351.6099307,8
R0,0.5739165,0.3138861,1.19591,0.0072974,-1.07E-04,359.1615161,8
R0,0.5780731,0.308949,1.194337,0.0041566,-0.0049371,310.0944028,7
R0,0.5807728,0.3073797,1.194328,0.0026997,-1.57E-03,329.831128,8
R0,0.5820011,0.3057342,1.192917,0.0012283,-0.0016455,306.7398692,7
R1,-0.003518643,0.2931386,1.269217,-0.585519743,-1.26E-02,181.2323469,5
R1,-0.003338952,0.292938,1.269252,0.000179691,-0.0002006,311.8529561,7
R1,-0.003030677,0.2936339,1.270543,0.000308275,6.96E-04,66.10725619,2
R1,-0.000950506,0.2939368,1.270241,0.002080171,0.0003029,8.284784926,1
R1,-0.000668542,0.2934932,1.269669,0.000281965,-4.44E-04,302.4412208,7
R1,0.001065982,0.292582,1.268902,0.001734524,-0.0009112,332.2856421,8
R1,0.03021194,0.2972032,1.266175,0.029145958,4.62E-03,9.009461289,1
R1,0.03294484,0.2982735,1.267841,0.0027329,0.0010703,21.38706263,1
R1,0.03645222,0.2981285,1.266473,0.00350738,-1.45E-04,357.6326603,8
R1,0.03998395,0.2999175,1.2655,0.00353173,0.001789,26.86452178,1
R1,0.04164208,0.301186,1.267438,0.00165813,1.27E-03,37.41665454,1
R1,0.04704522,0.2992582,1.265435,0.00540314,-0.0019278,340.3639795,8
R1,0.05078795,0.3006797,1.265739,0.00374273,1.42E-03,20.79692622,1
R1,0.05460231,0.3005129,1.265495,0.00381436,-0.0001668,357.4960803,8
R1,0.05914059,0.3002259,1.266116,0.00453828,-2.87E-04,356.3814441,8
R1,0.06413124,0.3008687,1.266774,0.00499065,0.0006428,7.339337834,1
R1,0.0694925,0.3020942,1.266977,0.00536126,1.23E-03,12.8757038,1
R1,0.1396903,0.2973303,1.263907,0.0701978,-0.0047639,356.1176349,8
R1,0.1421164,0.2982362,1.262866,0.0024261,9.06E-04,20.47551294,1
R1,0.1459393,0.2975762,1.261966,0.0038229,-0.00066,350.2047952,8
R1,0.1496013,0.2987408,1.263197,0.003662,1.16E-03,17.64185757,1
R1,0.1535436,0.2985303,1.262841,0.0039423,-0.0002105,356.9435814,8
R1,0.2238684,0.2900586,1.271037,0.0703248,-8.47E-03,353.1309453,8
R1,0.2288235,0.2915008,1.271919,0.0049551,0.0014422,16.2278304,1
R1,0.2315295,0.2910763,1.273208,0.002706,-4.24E-04,351.0844652,8
R1,0.2360615,0.2908302,1.27315,0.004532,-0.0002461,356.8917352,8
R1,0.2868405,0.2810567,1.276216,0.050779,-9.77E-03,349.1054337,8
R1,0.2930471,0.2802309,1.279606,0.0062066,-0.0008258,352.4211998,8
R1,0.2988212,0.2781485,1.279462,0.0057741,-2.08E-03,340.1684171,8
R1,0.3041403,0.278272,1.280536,0.0053191,0.0001235,1.330066675,1
R1,0.3087408,0.2753466,1.281649,0.0046005,-2.93E-03,327.5482332,8
R1,0.3138514,0.2733858,1.282516,0.0051106,-0.0019608,339.0095329,8
R1,0.3199042,0.2726869,1.283122,0.0060528,-6.99E-04,353.4133846,8
R1,0.3411297,0.2678533,1.288509,0.0212255,-0.0048336,347.1710367,8
R1,0.400032,0.2566059,1.29332,0.0589023,-1.12E-02,349.1895021,8
R1,0.4024825,0.2566172,1.292693,0.0024505,1.13E-05,0.264206374,1
R1,0.4046734,0.256389,1.29333,0.0021909,-2.28E-04,354.053622,8
R1,0.408119,0.255798,1.293666,0.0034456,-0.000591,350.26716,8
R1,0.410587,0.2545737,1.293244,0.002468,-1.22E-03,333.6153839,8
R1,0.4132286,0.2522999,1.293686,0.0026416,-0.0022738,319.2792427,8
R2,0.04060906,0.2759306,1.230906,-0.37261954,2.36E-02,176.3712889,4
R2,0.04458084,0.2764339,1.232883,0.00397178,0.0005033,7.22197208,1
R2,0.05465374,0.2774825,1.230159,0.0100729,1.05E-03,5.943146829,1
R2,0.05906342,0.2801331,1.229339,0.00440968,0.0026506,31.00951645,1
R2,0.06514715,0.2808479,1.227771,0.00608373,7.15E-04,6.701170284,1
R2,0.0709315,0.2809724,1.225709,0.00578435,0.0001245,1.233020705,1
R2,0.08304938,0.2815056,1.225117,0.01211788,5.33E-04,2.51945196,1
R2,0.1105009,0.2831357,1.226066,0.02745152,0.0016301,3.398292876,1
R2,0.1375116,0.2841734,1.228061,0.0270107,1.04E-03,2.200113473,1
R2,0.1440616,0.2854877,1.227267,0.00655,0.0013143,11.34609523,1
R2,0.1543851,0.2862784,1.227946,0.0103235,7.91E-04,4.37986088,1
R2,0.1591707,0.2883382,1.227578,0.0047856,0.0020598,23.28782946,1
R2,0.1634941,0.2879451,1.226602,0.0043234,-3.93E-04,354.8047347,8
R2,0.1943723,0.2872377,1.221591,0.0308782,-0.0007074,358.6876196,8
R2,0.2728351,0.2765877,1.210889,0.0784628,-1.07E-02,352.2703039,8
R2,0.2747333,0.2754667,1.211354,0.0018982,-0.001121,329.4356225,8
R2,0.2781821,0.2755089,1.212397,0.0034488,4.22E-05,0.7010442,1
R2,0.2838563,0.2755624,1.212113,0.0056742,5.35E-05,0.540205381,1
R2,0.2884046,0.2750175,1.213278,0.0045483,-5.45E-04,353.1683537,8
R2,0.2938642,0.2737024,1.214179,0.0054596,-0.0013151,346.4566858,8
R2,0.2982137,0.2729917,1.216446,0.0043495,-7.11E-04,350.7199879,8
R2,0.3029765,0.2736824,1.217803,0.0047628,0.0006907,8.251494746,1
R2,0.308271,0.2731364,1.219924,0.0052945,-5.46E-04,354.1121355,8
R2,0.3126077,0.2740878,1.222376,0.0043367,0.0009514,12.37371667,1
R2,0.338885,0.2703336,1.229776,0.0262773,-3.75E-03,351.8692566,8
R2,0.3438563,0.2690626,1.230892,0.0049713,-0.001271,345.6585423,8
R2,0.3476178,0.2694201,1.231658,0.0037615,3.58E-04,5.429190097,1
R2,0.3511671,0.2686059,1.231063,0.0035493,-0.0008142,347.0800345,8
R2,0.3544813,0.2669633,1.230265,0.0033142,-1.64E-03,333.63584,8
R2,0.3596525,0.2653565,1.230827,0.0051712,-0.0016068,342.7388875,8
R2,0.364155,0.2656087,1.231668,0.0045025,2.52E-04,3.205977063,1
R2,0.368926,0.2622462,1.230669,0.004771,-0.0033625,324.8246275,8
R2,0.3739473,0.2604367,1.232325,0.0050213,-1.81E-03,340.18262,8
R2,0.3793149,0.2576692,1.231621,0.0053676,-0.0027675,332.7246596,8
R2,0.3837015,0.2561572,1.232908,0.0043866,-1.51E-03,340.9816399,8
R2,0.3888442,0.2544276,1.233858,0.0051427,-0.0017296,341.4111069,8
R2,0.3937446,0.2533745,1.236028,0.0049004,-1.05E-03,347.8715512,8
R2,0.3981896,0.2516479,1.237148,0.004445,-0.0017266,338.7720156,8
R2,0.4154368,0.2480505,1.241939,0.0172472,-3.60E-03,348.2182334,8
R2,0.4208218,0.2464066,1.242671,0.005385,-0.0016439,343.023937,8
R3,0.0719284,0.3457519,1.227402,-0.3488934,9.93E-02,164.1060152,4
R3,0.07165409,0.3448942,1.227699,-0.00027431,-0.0008577,252.2646607,6
R3,0.07506432,0.3457049,1.226372,0.00341023,8.11E-04,13.37246991,1
R3,0.07899749,0.3472011,1.224996,0.00393317,0.0014962,20.82709649,1
R3,0.08710376,0.3461362,1.220841,0.00810627,-1.06E-03,352.5160545,8
R3,0.102711,0.3454581,1.214975,0.01560724,-0.0006781,357.51219,8
R3,0.1084034,0.3444199,1.212437,0.0056924,-1.04E-03,349.6638012,8
R3,0.1502764,0.3445964,1.210711,0.041873,0.0001765,0.241507539,1
R3,0.1516543,0.3440801,1.211501,0.0013779,-5.16E-04,339.4589941,8
R3,0.1557774,0.3436975,1.21163,0.0041231,-0.0003826,354.6984627,8
R3,0.1617213,0.3420989,1.21096,0.0059439,-1.60E-03,344.9466196,8
R3,0.1736373,0.3431042,1.210037,0.011916,0.0010053,4.822370945,1
R3,0.179474,0.3441592,1.209374,0.0058367,1.05E-03,10.24574812,1
R3,0.1863545,0.3435919,1.208446,0.0068805,-0.0005673,355.2866012,8
R3,0.2163417,0.3445787,1.205975,0.0299872,9.87E-04,1.884773493,1
R3,0.237854,0.3440111,1.20279,0.0215123,-0.0005676,358.4886069,8
R3,0.2439742,0.3441575,1.202108,0.0061202,1.46E-04,1.370298809,1
R3,0.2508898,0.3427091,1.202608,0.0069156,-0.0014484,348.1709807,8
R3,0.2559737,0.3408021,1.202774,0.0050839,-1.91E-03,339.4386441,8
R3,0.2615522,0.3386288,1.203673,0.0055785,-0.0021733,338.7148572,8
R3,0.2681956,0.3383406,1.203461,0.0066434,-2.88E-04,357.5159863,8
R3,0.2824406,0.3357859,1.204471,0.014245,-0.0025547,349.8326523,8
R3,0.2899446,0.3359914,1.204765,0.007504,2.05E-04,1.568675453,1
R3,0.3613342,0.3196633,1.200334,0.0713896,-0.0163281,347.1170075,8
R3,0.361861,0.3202657,1.199361,0.0005268,6.02E-04,48.83023953,2
R3,0.3648787,0.3183973,1.199082,0.0030177,-0.0018684,328.2364022,8
R3,0.3682414,0.3170694,1.1992,0.0033627,-1.33E-03,338.4513821,8
R3,0.3717478,0.3157321,1.201042,0.0035064,-0.0013373,339.1237332,8
R3,0.3786519,0.3146357,1.201548,0.0069041,-1.10E-03,350.9765402,8
R3,0.3842425,0.3133011,1.202234,0.0055906,-0.0013346,346.5735152,8
R3,0.3930162,0.3118948,1.203553,0.0087737,-1.41E-03,350.8937544,8
R3,0.3979392,0.3124427,1.204877,0.004923,0.0005479,6.350538348,1
R3,0.4017956,0.3122607,1.20722,0.0038564,-1.82E-04,357.2979721,8
R3,0.4083332,0.3121115,1.209718,0.0065376,-0.0001492,358.6926324,8
R3,0.4151884,0.3108255,1.210927,0.0068552,-1.29E-03,349.3750966,8
R3,0.4231395,0.3100187,1.212687,0.0079511,-0.0008068,354.2060147,8
R3,0.4293497,0.3100035,1.214224,0.0062102,-1.52E-05,359.8597639,8
R3,0.4340798,0.3078537,1.216109,0.0047301,-0.0021498,335.5585094,8
R3,0.4405619,0.3057673,1.217295,0.0064821,-2.09E-03,342.1581386,8
R3,0.4451133,0.3038561,1.218624,0.0045514,-0.0019112,337.2217464,8
R4,0.03677236,0.3105273,1.262391,-0.40834094,6.67E-03,179.0640233,5
R4,0.06203392,0.3039166,1.255556,0.02526156,-0.0066107,345.3351175,8
R4,0.07206773,0.3138432,1.250733,0.01003381,9.93E-03,44.69225976,2
R4,0.08014349,0.315798,1.249357,0.00807576,0.0019548,13.60715832,1
R4,0.08581316,0.3143008,1.246923,0.00566967,-1.50E-03,345.2074763,8
R4,0.09388212,0.3153974,1.244408,0.00806896,0.0010966,7.739282502,1
R4,0.1007085,0.315744,1.243155,0.00682638,3.47E-04,2.906617934,1
R4,0.1073636,0.3135716,1.240909,0.0066551,-0.0021724,341.921953,8
