Name,X,Y,Z,DeltaX,Deltay,Alpha,Kuant
R0,0.09302666,0.3377697,1.324936,,,,
R0,0.1000875,0.3484846,1.325609,0.00706084,0.0107149,56.61615841,2
R0,0.1040654,0.3546343,1.32523,0.0039779,0.0061497,57.10341122,2
R0,0.1082816,0.3592249,1.324551,0.0042162,0.0045906,47.43432695,2
R0,0.1530274,0.412271,1.333059,0.0447458,0.0530461,49.85147585,2
R0,0.1611937,0.4179918,1.337437,0.0081663,0.0057208,35.01268665,1
R0,0.1663828,0.4214082,1.339299,0.0051891,0.0034164,33.36011034,1
R0,0.172673,0.4252314,1.341592,0.0062902,0.0038232,31.29134354,1
R0,0.1786369,0.427488,1.343964,0.0059639,0.0022566,20.72546801,1
R0,0.1856603,0.429704,1.34548,0.0070234,0.002216,17.51135577,1
R0,0.193132,0.4332345,1.34862,0.0074717,0.0035305,25.29149762,1
R0,0.2358237,0.4361596,1.360219,0.0426917,0.0029251,3.919599317,1
R0,0.2429209,0.4403534,1.363111,0.0070972,0.0041938,30.57922687,1
R0,0.2509575,0.4408135,1.364861,0.0080366,0.0004601,3.276639783,1
R0,0.2592016,0.4409168,1.367227,0.0082441,0.0001033,0.717888466,1
R0,0.2728879,0.4400542,1.370458,0.0136863,-0.0008626,356.393616,8
R0,0.2860447,0.4407272,1.374466,0.0131568,0.000673,2.928256174,1
R0,0.2987723,0.4404566,1.376585,0.0127276,-0.0002706,358.7820247,8
R0,0.3048098,0.4388296,1.37737,0.0060375,-0.001627,344.9180696,8
R0,0.3102953,0.4358946,1.376719,0.0054855,-0.002935,331.8511278,8
R0,0.3165301,0.4364551,1.377155,0.0062348,0.0005605,5.137003298,1
R0,0.3225533,0.4345982,1.37729,0.0060232,-0.0018569,342.8659261,8
R0,0.3555122,0.4244849,1.378953,0.0329589,-0.0101133,342.9415882,8
R0,0.3593806,0.4205988,1.379366,0.0038684,-0.0038861,314.86922,8
R0,0.3652472,0.418389,1.38043,0.0058666,-0.0022098,339.359876,8
R0,0.3695778,0.415111,1.380001,0.0043306,-0.003278,322.8765007,8
R0,0.3909642,0.3923584,1.375609,0.0213864,-0.0227526,313.2271345,7
R0,0.4064228,0.4023264,1.376902,0.0154586,0.009968,32.81469441,1
R0,0.4051819,0.3867065,1.372424,-0.0012409,-0.0156199,265.4577607,6
R0,0.4093524,0.3820136,1.370655,0.0041705,-0.0046929,311.6269458,7
R0,0.4233126,0.3883943,1.37196,0.0139602,0.0063807,24.56341755,1
R0,0.4309757,0.3779525,1.367856,0.0076631,-0.0104418,306.2744567,7
R0,0.433589,0.3723052,1.366808,0.0026133,-0.0056473,294.8324397,7
R0,0.4533416,0.2647167,1.351606,0.0197526,-0.1075885,280.403305,7
R0,0.4562721,0.2592521,1.351603,0.0029305,-0.0054646,298.2033159,7
R0,0.4568008,0.253889,1.352833,0.0005287,-0.0053631,275.6300867,7
R0,0.4560069,0.246115,1.351557,-0.0007939,-0.007774,264.1690284,6
R0,0.4570608,0.2353582,1.352327,0.0010539,-0.0107568,275.5957083,7
R0,0.4625214,0.2305598,1.353265,0.0054606,-0.0047984,318.693216,8
